68,"SELECT TOP # p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-11-20 14:52:00,1
2019-11-20 15:11:00,1
2019-11-20 15:14:00,2
2019-11-20 15:15:00,2
2019-11-20 15:16:00,3
2019-11-20 15:19:00,3
2019-11-20 15:20:00,3
2019-11-20 15:21:00,3
2019-11-20 15:22:00,6
2019-11-20 15:23:00,1
2019-11-20 15:24:00,4
2019-11-20 15:25:00,1
2019-11-20 15:27:00,4
2019-11-20 15:28:00,1
2019-11-20 15:29:00,4
2019-11-20 15:32:00,5
2019-11-20 15:33:00,1
2019-11-20 15:34:00,3
2019-11-20 15:36:00,5
2019-11-20 15:37:00,7
2019-11-20 15:38:00,3
2019-11-20 15:39:00,5
