341,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Galaxy as p WHERE p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-11-20 00:24:00,1
2019-11-20 00:25:00,2
2019-11-20 00:26:00,7
2019-11-20 00:27:00,6
2019-11-20 00:28:00,5
2019-11-20 00:29:00,5
2019-11-20 00:30:00,9
2019-11-20 00:31:00,19
2019-11-20 00:32:00,24
2019-11-20 00:33:00,18
2019-11-20 00:34:00,12
2019-11-20 00:35:00,11
2019-11-20 00:36:00,16
2019-11-20 00:37:00,4
2019-11-20 00:38:00,8
2019-11-20 00:39:00,11
2019-11-20 00:40:00,12
2019-11-20 00:41:00,16
2019-11-20 00:42:00,6
2019-11-20 00:43:00,12
2019-11-20 00:44:00,3
2019-11-20 00:45:00,5
2019-11-20 00:46:00,19
2019-11-20 00:48:00,1
2019-11-20 00:49:00,4
2019-11-20 00:50:00,7
2019-11-20 00:51:00,2
2019-11-20 00:52:00,11
2019-11-20 00:53:00,10
2019-11-20 00:54:00,3
2019-11-20 00:55:00,5
2019-11-20 00:56:00,10
2019-11-20 00:57:00,7
2019-11-20 00:58:00,12
2019-11-20 00:59:00,3
2019-11-20 01:00:00,1
2019-11-20 01:01:00,5
2019-11-20 01:04:00,7
2019-11-20 01:05:00,1
2019-11-20 01:07:00,3
2019-11-20 01:08:00,4
2019-11-20 01:09:00,6
2019-11-20 01:10:00,3
2019-11-20 01:32:00,1
2019-11-20 02:04:00,3
2019-11-20 02:08:00,1
