135,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),r.z,r.Zerr FROM Galaxy as p, photoz as r WHERE p.ObjID=r.ObjID and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-11-20 00:24:00,1
2019-11-20 00:25:00,2
2019-11-20 00:26:00,5
2019-11-20 00:27:00,5
2019-11-20 00:28:00,5
2019-11-20 00:29:00,2
2019-11-20 00:30:00,5
2019-11-20 00:31:00,2
2019-11-20 00:32:00,5
2019-11-20 00:33:00,3
2019-11-20 00:34:00,3
2019-11-20 00:35:00,3
2019-11-20 00:36:00,1
2019-11-20 00:37:00,2
2019-11-20 00:38:00,8
2019-11-20 00:39:00,2
2019-11-20 00:40:00,3
2019-11-20 00:43:00,2
2019-11-20 00:44:00,7
2019-11-20 00:45:00,1
2019-11-20 00:46:00,4
2019-11-20 00:47:00,6
2019-11-20 00:48:00,6
2019-11-20 00:49:00,5
2019-11-20 00:50:00,4
2019-11-20 00:57:00,1
2019-11-20 00:58:00,1
2019-11-20 01:01:00,3
2019-11-20 01:02:00,1
2019-11-20 01:04:00,15
2019-11-20 01:05:00,4
2019-11-20 01:07:00,4
2019-11-20 01:08:00,4
2019-11-20 01:09:00,8
2019-11-20 01:10:00,2
