657,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-20 04:50:00,1
2019-11-20 04:51:00,15
2019-11-20 04:52:00,31
2019-11-20 04:53:00,34
2019-11-20 04:54:00,33
2019-11-20 04:55:00,34
2019-11-20 04:56:00,33
2019-11-20 04:57:00,31
2019-11-20 04:58:00,33
2019-11-20 04:59:00,32
2019-11-20 05:00:00,33
2019-11-20 05:01:00,32
2019-11-20 05:02:00,28
2019-11-20 05:03:00,26
2019-11-20 05:04:00,27
2019-11-20 05:05:00,26
2019-11-20 05:06:00,30
2019-11-20 05:07:00,29
2019-11-20 05:08:00,31
2019-11-20 05:09:00,31
2019-11-20 05:10:00,32
2019-11-20 05:11:00,32
2019-11-20 05:12:00,23
