3,"SELECT TOP #  s.specobjid, s.class, s.z as redshift, s.spectroFlux_r, FROM specobj as s WHERE  s.class=&&&"
2019-11-20 10:32:00,1
2019-11-20 10:33:00,1
2019-11-20 10:34:00,1
