2738,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-11-20 00:00:00,68
2019-11-20 00:01:00,67
2019-11-20 00:02:00,67
2019-11-20 00:03:00,69
2019-11-20 00:04:00,67
2019-11-20 00:05:00,68
2019-11-20 00:06:00,69
2019-11-20 00:07:00,66
2019-11-20 00:08:00,68
2019-11-20 00:09:00,67
2019-11-20 00:10:00,73
2019-11-20 00:11:00,77
2019-11-20 00:12:00,98
2019-11-20 00:13:00,78
2019-11-20 00:14:00,67
2019-11-20 00:15:00,67
2019-11-20 00:16:00,68
2019-11-20 00:17:00,69
2019-11-20 00:18:00,67
2019-11-20 00:19:00,68
2019-11-20 00:20:00,69
2019-11-20 00:21:00,74
2019-11-20 00:22:00,77
2019-11-20 00:23:00,70
2019-11-20 00:24:00,68
2019-11-20 00:25:00,75
2019-11-20 00:26:00,75
2019-11-20 00:27:00,77
2019-11-20 00:28:00,76
2019-11-20 00:29:00,67
2019-11-20 00:30:00,68
2019-11-20 00:31:00,75
2019-11-20 00:32:00,68
2019-11-20 00:33:00,68
2019-11-20 00:34:00,67
2019-11-20 00:35:00,69
2019-11-20 00:36:00,67
2019-11-20 00:37:00,74
2019-11-20 00:38:00,31
2019-11-20 00:39:00,11
2019-11-20 00:40:00,4
