2780,SELECT TOP # p.dr8objid FROM PhotoObjDR7 AS p WHERE p.dr7objid = #
2019-11-20 22:04:00,1
2019-11-20 22:06:00,7
2019-11-20 22:15:00,3
2019-11-20 22:19:00,4
2019-11-20 22:20:00,4
2019-11-20 22:22:00,15
2019-11-20 22:28:00,2
2019-11-20 22:57:00,1
2019-11-20 22:58:00,1
2019-11-20 23:00:00,9
2019-11-20 23:02:00,9
2019-11-20 23:04:00,17
2019-11-20 23:05:00,72
2019-11-20 23:08:00,72
2019-11-20 23:09:00,1
2019-11-20 23:19:00,1
2019-11-20 23:20:00,72
2019-11-20 23:21:00,27
2019-11-20 23:22:00,55
2019-11-20 23:23:00,38
2019-11-20 23:24:00,86
2019-11-20 23:25:00,87
2019-11-20 23:26:00,89
2019-11-20 23:27:00,89
2019-11-20 23:28:00,91
2019-11-20 23:29:00,77
2019-11-20 23:30:00,75
2019-11-20 23:31:00,85
2019-11-20 23:32:00,84
2019-11-20 23:33:00,88
2019-11-20 23:34:00,82
2019-11-20 23:35:00,84
2019-11-20 23:36:00,71
2019-11-20 23:37:00,16
2019-11-20 23:38:00,17
2019-11-20 23:39:00,16
2019-11-20 23:40:00,16
2019-11-20 23:41:00,15
2019-11-20 23:42:00,17
2019-11-20 23:43:00,16
2019-11-20 23:44:00,18
2019-11-20 23:45:00,18
2019-11-20 23:46:00,22
2019-11-20 23:47:00,83
2019-11-20 23:48:00,87
2019-11-20 23:49:00,91
2019-11-20 23:50:00,88
2019-11-20 23:51:00,88
2019-11-20 23:52:00,85
2019-11-20 23:53:00,80
2019-11-20 23:54:00,85
2019-11-20 23:55:00,88
2019-11-20 23:56:00,85
2019-11-20 23:57:00,83
2019-11-20 23:58:00,84
2019-11-20 23:59:00,83
