133,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-09-17 00:40:00,1
2019-09-17 02:40:00,1
2019-09-17 05:01:00,1
2019-09-17 05:25:00,1
2019-09-17 05:26:00,1
2019-09-17 05:31:00,1
2019-09-17 05:34:00,2
2019-09-17 05:35:00,1
2019-09-17 05:36:00,1
2019-09-17 05:38:00,1
2019-09-17 05:39:00,2
2019-09-17 05:40:00,1
2019-09-17 05:43:00,1
2019-09-17 05:44:00,2
2019-09-17 05:45:00,1
2019-09-17 05:49:00,1
2019-09-17 05:50:00,2
2019-09-17 05:51:00,1
2019-09-17 05:52:00,1
2019-09-17 05:53:00,1
2019-09-17 05:54:00,2
2019-09-17 05:56:00,1
2019-09-17 05:58:00,1
2019-09-17 06:00:00,1
2019-09-17 06:03:00,1
2019-09-17 06:05:00,1
2019-09-17 06:08:00,1
2019-09-17 06:11:00,1
2019-09-17 06:12:00,1
2019-09-17 06:13:00,1
2019-09-17 06:14:00,2
2019-09-17 06:15:00,2
2019-09-17 06:16:00,2
2019-09-17 06:18:00,1
2019-09-17 06:19:00,2
2019-09-17 06:21:00,2
2019-09-17 06:22:00,2
2019-09-17 06:23:00,2
2019-09-17 06:24:00,1
2019-09-17 06:25:00,1
2019-09-17 06:28:00,1
2019-09-17 06:34:00,1
2019-09-17 06:35:00,2
2019-09-17 06:36:00,1
2019-09-17 06:38:00,2
2019-09-17 06:39:00,2
2019-09-17 06:40:00,1
2019-09-17 06:41:00,2
2019-09-17 06:42:00,2
2019-09-17 06:44:00,1
2019-09-17 06:45:00,1
2019-09-17 06:46:00,1
2019-09-17 06:47:00,2
2019-09-17 06:48:00,2
2019-09-17 06:49:00,1
2019-09-17 06:50:00,1
2019-09-17 06:51:00,1
2019-09-17 06:52:00,2
2019-09-17 06:53:00,1
2019-09-17 06:55:00,3
2019-09-17 06:56:00,2
2019-09-17 06:57:00,1
2019-09-17 07:34:00,1
2019-09-17 07:37:00,1
2019-09-17 07:38:00,2
2019-09-17 07:39:00,2
2019-09-17 07:44:00,2
2019-09-17 07:45:00,1
2019-09-17 07:48:00,2
2019-09-17 07:49:00,1
2019-09-17 07:51:00,2
2019-09-17 07:52:00,2
2019-09-17 07:53:00,2
2019-09-17 07:54:00,1
2019-09-17 07:55:00,1
2019-09-17 07:57:00,2
2019-09-17 08:01:00,1
2019-09-17 08:02:00,1
2019-09-17 08:03:00,1
2019-09-17 08:08:00,1
2019-09-17 08:09:00,1
2019-09-17 08:10:00,1
2019-09-17 08:13:00,1
2019-09-17 08:14:00,1
2019-09-17 08:16:00,1
2019-09-17 08:17:00,1
2019-09-17 08:18:00,1
2019-09-17 08:20:00,1
2019-09-17 08:21:00,1
2019-09-17 08:23:00,1
2019-09-17 08:25:00,1
2019-09-17 08:26:00,1
2019-09-17 08:27:00,1
2019-09-17 08:28:00,2
2019-09-17 08:29:00,2
2019-09-17 11:03:00,1
2019-09-17 18:33:00,1
2019-09-17 18:41:00,1
2019-09-17 21:26:00,1
2019-09-17 22:08:00,1
