30,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-09-17 00:50:00,1
2019-09-17 01:20:00,5
2019-09-17 03:33:00,1
2019-09-17 08:35:00,1
2019-09-17 11:39:00,1
2019-09-17 12:01:00,1
2019-09-17 12:47:00,1
2019-09-17 13:00:00,1
2019-09-17 14:02:00,1
2019-09-17 14:48:00,1
2019-09-17 16:25:00,1
2019-09-17 21:18:00,1
2019-09-17 21:19:00,2
2019-09-17 21:25:00,1
2019-09-17 21:26:00,2
2019-09-17 21:28:00,1
2019-09-17 21:30:00,2
2019-09-17 21:31:00,1
2019-09-17 21:35:00,2
2019-09-17 21:36:00,1
2019-09-17 22:08:00,1
2019-09-17 23:33:00,1
