61,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-09-17 00:55:00,4
2019-09-17 00:56:00,6
2019-09-17 05:13:00,10
2019-09-17 05:34:00,1
2019-09-17 06:27:00,1
2019-09-17 06:59:00,1
2019-09-17 13:36:00,1
2019-09-17 17:24:00,1
2019-09-17 18:31:00,1
2019-09-17 18:40:00,1
2019-09-17 18:45:00,8
2019-09-17 18:46:00,4
2019-09-17 19:11:00,1
2019-09-17 19:50:00,1
2019-09-17 20:22:00,1
2019-09-17 20:46:00,1
2019-09-17 20:47:00,2
2019-09-17 20:53:00,1
2019-09-17 20:58:00,4
2019-09-17 21:00:00,1
2019-09-17 21:12:00,4
2019-09-17 21:13:00,6
