23,select top # * from galaxy
2019-09-17 00:40:00,1
2019-09-17 04:56:00,1
2019-09-17 05:01:00,1
2019-09-17 07:47:00,1
2019-09-17 07:53:00,1
2019-09-17 08:23:00,1
2019-09-17 08:40:00,1
2019-09-17 11:04:00,1
2019-09-17 11:24:00,1
2019-09-17 11:48:00,1
2019-09-17 12:21:00,1
2019-09-17 12:37:00,1
2019-09-17 17:10:00,1
2019-09-17 18:33:00,1
2019-09-17 18:39:00,1
2019-09-17 18:41:00,1
2019-09-17 19:06:00,1
2019-09-17 21:26:00,1
2019-09-17 21:55:00,1
2019-09-17 22:09:00,1
2019-09-17 22:11:00,1
2019-09-17 22:56:00,1
2019-09-17 23:08:00,1
