29,select count(*) as thecount
2019-09-17 09:55:00,1
2019-09-17 09:56:00,2
2019-09-17 10:33:00,2
2019-09-17 10:56:00,2
2019-09-17 11:02:00,1
2019-09-17 11:03:00,1
2019-09-17 11:35:00,2
2019-09-17 11:50:00,1
2019-09-17 12:00:00,1
2019-09-17 12:01:00,2
2019-09-17 13:11:00,1
2019-09-17 13:53:00,1
2019-09-17 14:11:00,1
2019-09-17 14:21:00,1
2019-09-17 14:43:00,2
2019-09-17 15:03:00,1
2019-09-17 15:04:00,1
2019-09-17 15:35:00,2
2019-09-17 16:03:00,1
2019-09-17 16:05:00,1
2019-09-17 16:34:00,1
2019-09-17 16:35:00,1
