2,"SELECT     p.objid,p.ra,p.dec into mydb.MyTable from PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid"
2019-09-17 18:25:00,1
2019-09-17 18:26:00,1
