3,"SELECT p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, s.z Redshift FROM PhotoObjAll as p   INNER JOIN SPecObjAll as s ON p.specObjID = s.specObjID   Where s.specObjID = #"
2019-09-17 10:17:00,1
2019-09-17 11:14:00,1
2019-09-17 11:19:00,1
