12,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-09-17 02:28:00,1
2019-09-17 06:33:00,1
2019-09-17 10:36:00,1
2019-09-17 12:21:00,1
2019-09-17 12:37:00,1
2019-09-17 13:05:00,1
2019-09-17 17:41:00,1
2019-09-17 19:06:00,1
2019-09-17 20:52:00,1
2019-09-17 21:35:00,1
2019-09-17 21:55:00,1
2019-09-17 22:11:00,1
