64,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-09-17 11:25:00,2
2019-09-17 11:26:00,1
2019-09-17 11:28:00,1
2019-09-17 11:34:00,1
2019-09-17 11:36:00,1
2019-09-17 11:42:00,1
2019-09-17 11:51:00,1
2019-09-17 11:52:00,1
2019-09-17 11:53:00,1
2019-09-17 11:56:00,1
2019-09-17 11:57:00,1
2019-09-17 11:58:00,2
2019-09-17 12:00:00,1
2019-09-17 12:03:00,1
2019-09-17 12:05:00,3
2019-09-17 12:06:00,1
2019-09-17 12:07:00,3
2019-09-17 12:10:00,3
2019-09-17 12:11:00,1
2019-09-17 12:12:00,3
2019-09-17 12:13:00,1
2019-09-17 12:15:00,2
2019-09-17 12:33:00,2
2019-09-17 12:36:00,1
2019-09-17 12:37:00,1
2019-09-17 12:38:00,4
2019-09-17 12:39:00,4
2019-09-17 12:40:00,3
2019-09-17 12:41:00,4
2019-09-17 12:42:00,3
2019-09-17 12:43:00,3
2019-09-17 12:44:00,4
2019-09-17 12:45:00,1
2019-09-17 13:04:00,1
