5094,"SELECT p.ra, p.dec, p.psfFlux_u, p.psfFlux_g, p.psfFlux_r, p.psfFlux_i, p.psfFlux_z, p.psfFluxIvar_u, p.psfFluxIvar_g, p.psfFluxIvar_r, p.psfFluxIvar_i, p.psfFluxIvar_z, d.w1flux, d.w2flux, d.w3flux, d.w4flux, d.w1sigflux, d.w2sigflux, d.w3sigflux, d.w4sigflux FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID=c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr=d.cntr"
2019-05-10 11:38:00,3
2019-05-10 11:39:00,4
2019-05-10 11:40:00,8
2019-05-10 11:41:00,5
2019-05-10 11:42:00,3
2019-05-10 11:43:00,6
2019-05-10 11:44:00,4
2019-05-10 11:45:00,7
2019-05-10 11:46:00,4
2019-05-10 11:47:00,6
2019-05-10 11:48:00,4
2019-05-10 11:49:00,6
2019-05-10 11:50:00,7
2019-05-10 11:51:00,3
2019-05-10 11:52:00,3
2019-05-10 11:53:00,4
2019-05-10 11:54:00,4
2019-05-10 11:55:00,6
2019-05-10 11:56:00,7
2019-05-10 11:57:00,5
2019-05-10 11:58:00,4
2019-05-10 11:59:00,6
2019-05-10 12:00:00,5
2019-05-10 12:01:00,6
2019-05-10 12:02:00,7
2019-05-10 12:03:00,6
2019-05-10 12:04:00,8
2019-05-10 12:05:00,7
2019-05-10 12:06:00,7
2019-05-10 12:07:00,7
2019-05-10 12:08:00,10
2019-05-10 12:09:00,6
2019-05-10 12:10:00,6
2019-05-10 12:11:00,6
2019-05-10 12:12:00,8
2019-05-10 12:13:00,8
2019-05-10 12:14:00,10
2019-05-10 12:15:00,9
2019-05-10 12:16:00,7
2019-05-10 12:17:00,10
2019-05-10 12:18:00,7
2019-05-10 12:19:00,9
2019-05-10 12:20:00,7
2019-05-10 12:21:00,4
2019-05-10 12:22:00,7
2019-05-10 12:23:00,5
2019-05-10 12:24:00,7
2019-05-10 12:25:00,11
2019-05-10 12:26:00,7
2019-05-10 12:27:00,8
2019-05-10 12:28:00,4
2019-05-10 12:29:00,8
2019-05-10 12:30:00,7
2019-05-10 12:31:00,7
2019-05-10 12:32:00,7
2019-05-10 12:33:00,8
2019-05-10 12:34:00,9
2019-05-10 12:35:00,6
2019-05-10 12:36:00,5
2019-05-10 12:37:00,4
2019-05-10 12:38:00,9
2019-05-10 12:39:00,5
2019-05-10 12:40:00,6
2019-05-10 12:41:00,9
2019-05-10 12:42:00,9
2019-05-10 12:43:00,8
2019-05-10 12:44:00,9
2019-05-10 12:45:00,9
2019-05-10 12:46:00,7
2019-05-10 12:47:00,9
2019-05-10 12:48:00,9
2019-05-10 12:49:00,9
2019-05-10 12:50:00,7
2019-05-10 12:51:00,10
2019-05-10 12:52:00,6
2019-05-10 12:53:00,6
2019-05-10 12:54:00,6
2019-05-10 12:55:00,5
2019-05-10 12:56:00,7
2019-05-10 12:57:00,7
2019-05-10 12:58:00,7
2019-05-10 12:59:00,10
2019-05-10 13:00:00,10
2019-05-10 13:01:00,7
2019-05-10 13:02:00,5
2019-05-10 13:03:00,8
2019-05-10 13:04:00,8
2019-05-10 13:05:00,9
2019-05-10 13:06:00,6
2019-05-10 13:07:00,8
2019-05-10 13:08:00,9
2019-05-10 13:09:00,7
