9540,"SELECT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, d.w1mpro, d.w2mpro, d.w3mpro, d.w4mpro FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID=c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr=d.cntr"
2019-05-10 00:00:00,19
2019-05-10 00:01:00,20
2019-05-10 00:02:00,19
2019-05-10 00:03:00,19
2019-05-10 00:04:00,22
2019-05-10 00:05:00,23
2019-05-10 00:06:00,18
2019-05-10 00:07:00,23
2019-05-10 00:08:00,19
2019-05-10 00:09:00,18
2019-05-10 00:10:00,18
2019-05-10 00:11:00,17
2019-05-10 00:12:00,21
2019-05-10 00:13:00,21
2019-05-10 00:14:00,22
2019-05-10 00:15:00,20
2019-05-10 00:16:00,22
2019-05-10 00:17:00,21
2019-05-10 00:18:00,20
2019-05-10 00:19:00,20
2019-05-10 00:20:00,20
2019-05-10 00:21:00,17
2019-05-10 00:22:00,20
2019-05-10 00:23:00,20
2019-05-10 00:24:00,20
2019-05-10 00:25:00,19
2019-05-10 00:26:00,19
2019-05-10 00:27:00,21
2019-05-10 00:28:00,20
2019-05-10 00:29:00,21
2019-05-10 00:30:00,19
2019-05-10 00:31:00,23
2019-05-10 00:32:00,19
2019-05-10 00:33:00,18
2019-05-10 00:34:00,24
2019-05-10 00:35:00,20
2019-05-10 00:36:00,19
2019-05-10 00:37:00,19
2019-05-10 00:38:00,20
2019-05-10 00:39:00,18
2019-05-10 00:40:00,22
2019-05-10 00:41:00,20
2019-05-10 00:42:00,20
2019-05-10 00:43:00,19
2019-05-10 00:44:00,22
2019-05-10 00:45:00,18
2019-05-10 00:46:00,22
2019-05-10 00:47:00,23
2019-05-10 00:48:00,19
2019-05-10 00:49:00,21
2019-05-10 00:50:00,21
2019-05-10 00:51:00,18
2019-05-10 00:52:00,21
2019-05-10 00:53:00,15
2019-05-10 00:54:00,23
2019-05-10 00:55:00,18
2019-05-10 00:56:00,21
2019-05-10 00:57:00,20
2019-05-10 00:58:00,20
2019-05-10 00:59:00,22
2019-05-10 01:00:00,20
2019-05-10 01:01:00,19
2019-05-10 01:02:00,24
2019-05-10 01:03:00,18
2019-05-10 01:04:00,19
2019-05-10 01:05:00,20
2019-05-10 01:06:00,22
