379,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-05-10 01:01:00,4
2019-05-10 01:02:00,2
2019-05-10 03:56:00,6
2019-05-10 03:57:00,4
2019-05-10 03:58:00,4
2019-05-10 03:59:00,4
2019-05-10 04:00:00,4
2019-05-10 04:01:00,8
2019-05-10 04:02:00,2
2019-05-10 04:03:00,4
2019-05-10 04:04:00,8
2019-05-10 04:05:00,4
2019-05-10 04:06:00,8
2019-05-10 04:07:00,4
2019-05-10 04:08:00,7
2019-05-10 04:09:00,1
2019-05-10 04:10:00,8
2019-05-10 04:11:00,4
2019-05-10 04:12:00,4
2019-05-10 04:13:00,4
2019-05-10 04:14:00,8
2019-05-10 04:15:00,4
2019-05-10 04:16:00,8
2019-05-10 04:17:00,4
2019-05-10 04:18:00,4
2019-05-10 04:19:00,8
2019-05-10 04:20:00,4
2019-05-10 04:21:00,4
2019-05-10 04:22:00,4
2019-05-10 04:23:00,8
2019-05-10 04:24:00,3
2019-05-10 04:25:00,4
2019-05-10 04:26:00,8
2019-05-10 04:27:00,8
2019-05-10 04:28:00,4
2019-05-10 04:29:00,8
2019-05-10 04:30:00,8
2019-05-10 04:31:00,4
2019-05-10 04:32:00,8
2019-05-10 04:33:00,8
2019-05-10 04:34:00,8
2019-05-10 04:35:00,7
2019-05-10 04:36:00,5
2019-05-10 04:37:00,8
2019-05-10 04:38:00,7
2019-05-10 04:39:00,7
2019-05-10 04:40:00,6
2019-05-10 04:41:00,4
2019-05-10 04:42:00,4
2019-05-10 04:43:00,8
2019-05-10 04:44:00,4
2019-05-10 04:45:00,4
2019-05-10 04:46:00,8
2019-05-10 04:47:00,5
2019-05-10 04:48:00,7
2019-05-10 04:49:00,8
2019-05-10 04:50:00,4
2019-05-10 04:51:00,4
2019-05-10 04:52:00,4
2019-05-10 04:53:00,4
2019-05-10 04:54:00,4
2019-05-10 04:55:00,8
2019-05-10 04:56:00,8
2019-05-10 04:57:00,4
2019-05-10 04:58:00,4
2019-05-10 04:59:00,10
2019-05-10 05:00:00,8
2019-05-10 05:01:00,4
