92,select AND #=#
2019-09-16 00:41:00,1
2019-09-16 02:02:00,1
2019-09-16 02:09:00,1
2019-09-16 02:34:00,1
2019-09-16 02:54:00,1
2019-09-16 03:14:00,1
2019-09-16 03:26:00,1
2019-09-16 03:41:00,1
2019-09-16 03:44:00,1
2019-09-16 04:23:00,1
2019-09-16 04:41:00,1
2019-09-16 04:47:00,1
2019-09-16 04:50:00,1
2019-09-16 05:08:00,1
2019-09-16 05:21:00,1
2019-09-16 05:26:00,1
2019-09-16 05:29:00,1
2019-09-16 05:32:00,1
2019-09-16 05:41:00,1
2019-09-16 05:44:00,1
2019-09-16 05:56:00,1
2019-09-16 06:02:00,1
2019-09-16 06:08:00,1
2019-09-16 06:38:00,1
2019-09-16 06:59:00,1
2019-09-16 07:08:00,1
2019-09-16 07:11:00,1
2019-09-16 07:14:00,1
2019-09-16 07:29:00,1
2019-09-16 07:50:00,1
2019-09-16 08:02:00,1
2019-09-16 08:29:00,1
2019-09-16 08:38:00,1
2019-09-16 08:41:00,1
2019-09-16 08:56:00,1
2019-09-16 09:11:00,1
2019-09-16 09:20:00,1
2019-09-16 09:23:00,1
2019-09-16 09:26:00,1
2019-09-16 09:41:00,1
2019-09-16 09:53:00,1
2019-09-16 09:59:00,1
2019-09-16 10:09:00,1
2019-09-16 10:14:00,1
2019-09-16 10:17:00,1
2019-09-16 10:29:00,1
2019-09-16 10:35:00,1
2019-09-16 10:38:00,1
2019-09-16 10:50:00,1
2019-09-16 11:14:00,1
2019-09-16 11:26:00,1
2019-09-16 11:50:00,1
2019-09-16 11:53:00,1
2019-09-16 11:59:00,1
2019-09-16 12:11:00,1
2019-09-16 12:53:00,1
2019-09-16 13:23:00,1
2019-09-16 13:44:00,1
2019-09-16 13:47:00,1
2019-09-16 14:14:00,1
2019-09-16 14:26:00,1
2019-09-16 14:29:00,1
2019-09-16 14:32:00,1
2019-09-16 14:35:00,1
2019-09-16 14:47:00,1
2019-09-16 15:05:00,1
2019-09-16 15:30:00,1
2019-09-16 15:41:00,1
2019-09-16 16:08:00,1
2019-09-16 16:11:00,1
2019-09-16 16:29:00,1
2019-09-16 16:35:00,1
2019-09-16 16:38:00,1
2019-09-16 16:50:00,1
2019-09-16 16:56:00,1
2019-09-16 17:02:00,1
2019-09-16 17:11:00,1
2019-09-16 18:02:00,1
2019-09-16 18:23:00,1
2019-09-16 18:32:00,1
2019-09-16 18:44:00,1
2019-09-16 18:47:00,1
2019-09-16 18:56:00,1
2019-09-16 18:59:00,1
2019-09-16 19:10:00,1
2019-09-16 19:19:00,1
2019-09-16 19:31:00,1
2019-09-16 19:34:00,1
2019-09-16 20:01:00,1
2019-09-16 20:16:00,1
2019-09-16 21:12:00,1
2019-09-16 21:59:00,1
