67,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-09-16 00:45:00,1
2019-09-16 01:45:00,1
2019-09-16 02:45:00,1
2019-09-16 03:44:00,1
2019-09-16 03:45:00,1
2019-09-16 04:44:00,1
2019-09-16 05:45:00,1
2019-09-16 06:20:00,3
2019-09-16 06:21:00,6
2019-09-16 06:45:00,1
2019-09-16 07:45:00,1
2019-09-16 08:15:00,9
2019-09-16 08:45:00,1
2019-09-16 09:44:00,1
2019-09-16 10:44:00,1
2019-09-16 11:44:00,1
2019-09-16 12:44:00,1
2019-09-16 13:45:00,1
2019-09-16 14:45:00,1
2019-09-16 15:45:00,1
2019-09-16 15:59:00,2
2019-09-16 16:00:00,16
2019-09-16 16:44:00,1
2019-09-16 17:44:00,1
2019-09-16 18:26:00,9
2019-09-16 18:45:00,1
2019-09-16 19:45:00,1
2019-09-16 19:49:00,1
