3,"SELECT   M.mangaID, M.log_Mass, M.e_log_Mass, M.age_MW_Re_fit  INTO   man0#.gg  FROM   mangaPipe3D as M"
2019-09-16 06:45:00,2
2019-09-16 06:46:00,1
