21,"SELECT TOP #  p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z,   p.run, p.rerun, p.camcol, p.field,   s.specobjid, s.class, s.z as redshift,   s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-09-16 17:12:00,1
2019-09-16 17:18:00,1
2019-09-16 17:23:00,1
2019-09-16 17:31:00,1
2019-09-16 17:57:00,1
2019-09-16 18:02:00,1
2019-09-16 18:05:00,1
2019-09-16 18:07:00,1
2019-09-16 18:14:00,1
2019-09-16 18:16:00,1
2019-09-16 18:19:00,1
2019-09-16 18:52:00,1
2019-09-16 18:53:00,1
2019-09-16 18:58:00,2
2019-09-16 19:02:00,1
2019-09-16 19:43:00,2
2019-09-16 19:44:00,2
2019-09-16 20:00:00,1
