2,"SELECT TOP # ObjID,r,g,i,u,u-r as redness,ra,dec from Galaxy as G WHERE G.lnlDev_r > G.lnlExp_r + # and G.lnlExp_r > # and G.petroMag_i > # and (G.petroMag_r > # or G.petror5#_r > #) and (G.petroMag_r > # and G.g > # and G.r > # and G.i > #) and ( (G.petroMag_r - G.extinction_r) < # and (G.petroMag_r - G.extinction_r <(# + (#/#)*(G.g - G.r) + # *(G.r - G.i) - # * # ) ) and ( (G.r - G.i - (G.g - G.r)/# - #) < # ) and ( (G.r - G.i - (G.g - G.r)/# - #) > # ) ) or ( (G.petroMag_r - G.extinction_r < #) and ( (G.r - G.i - (G.g - G.r)/# - #) >(# - #*(G.g - G.r) ) ) and ( (G.g - G.r) > (# + # *(G.r - G.i) ) ) )"
2019-09-07 16:29:00,1
2019-09-07 16:31:00,1
