65,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-09-07 03:25:00,1
2019-09-07 03:26:00,6
2019-09-07 03:27:00,4
2019-09-07 07:42:00,5
2019-09-07 07:43:00,5
2019-09-07 08:41:00,1
2019-09-07 10:50:00,1
2019-09-07 11:07:00,1
2019-09-07 14:22:00,1
2019-09-07 14:52:00,8
2019-09-07 14:53:00,2
2019-09-07 14:57:00,1
2019-09-07 15:16:00,17
2019-09-07 15:17:00,5
2019-09-07 16:00:00,1
2019-09-07 20:13:00,1
2019-09-07 20:14:00,2
2019-09-07 20:49:00,2
2019-09-07 23:03:00,1
