18,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-02-13 07:22:00,1
2019-02-13 07:24:00,1
2019-02-13 07:44:00,2
2019-02-13 07:45:00,1
2019-02-13 07:49:00,2
2019-02-13 07:50:00,1
2019-02-13 08:13:00,1
2019-02-13 08:17:00,1
2019-02-13 09:21:00,1
2019-02-13 09:27:00,1
2019-02-13 14:44:00,1
2019-02-13 15:55:00,1
2019-02-13 15:56:00,1
2019-02-13 16:27:00,1
2019-02-13 17:37:00,2
