31,"SELECT up_id,  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) as SpecobjId   FROM #upload  WHERE  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   s.ra,s.dec,s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN #x AS x ON x.SpecobjID=s.SpecobjID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  s.zWarning = #   ORDER BY x.up_id"
2019-02-13 09:09:00,1
2019-02-13 09:10:00,1
2019-02-13 09:11:00,1
2019-02-13 09:13:00,1
2019-02-13 09:14:00,1
2019-02-13 09:15:00,2
2019-02-13 09:16:00,1
2019-02-13 09:18:00,1
2019-02-13 09:27:00,1
2019-02-13 09:28:00,1
2019-02-13 09:29:00,2
2019-02-13 09:34:00,1
2019-02-13 10:15:00,1
2019-02-13 10:16:00,1
2019-02-13 10:18:00,1
2019-02-13 10:40:00,1
2019-02-13 10:45:00,1
2019-02-13 10:47:00,1
2019-02-13 10:49:00,1
2019-02-13 10:50:00,1
2019-02-13 11:22:00,1
2019-02-13 11:59:00,1
2019-02-13 13:22:00,1
2019-02-13 13:23:00,1
2019-02-13 17:38:00,3
2019-02-13 23:33:00,1
2019-02-13 23:36:00,1
