4,"SELECT z.p_cs, z.p_el, z.p_dk, z.p_mg FROM zooNoSpec z WHERE z.ra BETWEEN # AND #  AND z.dec BETWEEN # AND #"
2019-02-13 04:02:00,1
2019-02-13 04:03:00,2
2019-02-13 04:05:00,1
