2,"SELECT   p.objid,   p.ra, p.dec,   p.g, p.r, p.i,   (p.r-p.i) as &&&,   (p.g-p.r) as &&&,   p.type as obj_ph_type,   s.specobjid,   s.class,    s.z as spec_redshift,   f.z as photo_redshift   f.zErr, f.nnVol, f.nnCount, f.nnIsInside    into mydb.photztest_lowz_errs    from PhotoObj AS p, Photoz as f, SpecObj as s WHERE   s.bestobjid = p.objid   AND p.objid = f.objid   AND boss_target1 > #   AND class = &&&   AND ABS((modelmag_r - modelmag_i) - (modelmag_g - modelmag_r)/# - #) < #   AND cmodelmag_r BETWEEN # AND #   AND cmodelmag_r < # + (#*(modelmag_g - modelmag_r) + #*((modelmag_r - modelmag_i) - #))/#   AND (psfmag_r - cmodelmag_r) > #"
2019-02-13 13:39:00,1
2019-02-13 13:40:00,1
