3,"SELECT s.ra, s.dec, g.* into mydb.MyTable_# from cannonStar AS g     JOIN apogeeStar AS s ON s.apogee_id = g.apogee_id"
2019-02-13 05:43:00,1
2019-02-13 05:44:00,1
2019-02-13 05:45:00,1
