435,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-09-11 00:10:00,2
2019-09-11 00:17:00,2
2019-09-11 00:21:00,1
2019-09-11 00:22:00,2
2019-09-11 00:25:00,2
2019-09-11 00:28:00,1
2019-09-11 00:29:00,1
2019-09-11 00:30:00,1
2019-09-11 00:31:00,2
2019-09-11 00:33:00,1
2019-09-11 00:41:00,2
2019-09-11 00:43:00,1
2019-09-11 00:44:00,1
2019-09-11 00:47:00,2
2019-09-11 00:52:00,2
2019-09-11 00:56:00,2
2019-09-11 01:01:00,1
2019-09-11 01:02:00,1
2019-09-11 01:06:00,1
2019-09-11 01:07:00,1
2019-09-11 01:09:00,2
2019-09-11 01:12:00,2
2019-09-11 01:14:00,2
2019-09-11 01:16:00,2
2019-09-11 01:18:00,1
2019-09-11 01:19:00,1
2019-09-11 01:20:00,1
2019-09-11 01:25:00,1
2019-09-11 01:26:00,1
2019-09-11 01:32:00,2
2019-09-11 01:36:00,1
2019-09-11 01:37:00,1
2019-09-11 01:42:00,2
2019-09-11 01:45:00,1
2019-09-11 01:46:00,1
2019-09-11 01:50:00,1
2019-09-11 01:51:00,1
2019-09-11 01:53:00,1
2019-09-11 01:55:00,2
2019-09-11 01:57:00,1
2019-09-11 01:58:00,1
2019-09-11 02:00:00,2
2019-09-11 02:02:00,1
2019-09-11 02:03:00,1
2019-09-11 02:06:00,2
2019-09-11 02:09:00,2
2019-09-11 02:13:00,2
2019-09-11 02:16:00,2
2019-09-11 02:19:00,2
2019-09-11 02:50:00,1
2019-09-11 02:51:00,1
2019-09-11 03:03:00,1
2019-09-11 03:04:00,1
2019-09-11 03:16:00,1
2019-09-11 03:17:00,1
2019-09-11 03:28:00,1
2019-09-11 03:42:00,1
2019-09-11 03:43:00,1
2019-09-11 03:55:00,2
2019-09-11 04:09:00,2
2019-09-11 04:22:00,2
2019-09-11 04:34:00,2
2019-09-11 04:36:00,1
2019-09-11 04:37:00,1
2019-09-11 04:38:00,1
2019-09-11 04:39:00,1
2019-09-11 04:42:00,2
2019-09-11 04:47:00,1
2019-09-11 04:54:00,1
2019-09-11 04:55:00,1
2019-09-11 04:56:00,2
2019-09-11 05:00:00,2
2019-09-11 05:04:00,1
2019-09-11 05:05:00,1
2019-09-11 05:06:00,2
2019-09-11 05:08:00,1
2019-09-11 05:11:00,1
2019-09-11 05:13:00,1
2019-09-11 05:14:00,1
2019-09-11 05:15:00,2
2019-09-11 05:19:00,2
2019-09-11 05:23:00,2
2019-09-11 05:25:00,1
2019-09-11 05:26:00,1
2019-09-11 05:30:00,2
2019-09-11 05:35:00,1
2019-09-11 05:36:00,1
2019-09-11 05:38:00,1
2019-09-11 05:39:00,1
2019-09-11 05:43:00,1
2019-09-11 05:44:00,1
2019-09-11 05:47:00,2
2019-09-11 05:50:00,2
2019-09-11 05:53:00,2
2019-09-11 05:56:00,2
2019-09-11 06:00:00,2
2019-09-11 06:02:00,1
2019-09-11 06:03:00,1
2019-09-11 06:06:00,2
2019-09-11 06:12:00,1
