3,"select p.objid as name, p.ra, p.dec from star p where (p.g BETWEEN # AND #) and (p.r-p.i BETWEEN # AND #)"
2019-09-11 19:19:00,1
2019-09-11 19:29:00,1
2019-09-11 19:36:00,1
