13,"SELECT TOP #  p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z,   p.run, p.rerun, p.camcol, p.field,   s.specobjid, s.class, s.z as redshift,   s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-09-11 15:07:00,1
2019-09-11 17:18:00,1
2019-09-11 18:20:00,1
2019-09-11 19:05:00,1
2019-09-11 19:11:00,1
2019-09-11 19:13:00,1
2019-09-11 19:34:00,1
2019-09-11 19:45:00,1
2019-09-11 19:56:00,1
2019-09-11 20:20:00,1
2019-09-11 20:35:00,1
2019-09-11 20:38:00,1
2019-09-11 20:39:00,1
