4,"SELECT G.ra as ra, G.dec as dec, G.cModelMag_i as mag, G.cModelMagErr_i as magerr, GN.distance as distance, # as priority, G.objID, G.flags, G.fiberMag_r as fiberMag FROM Galaxy AS G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID WHERE G.cModelMag_i < # ORDER BY GN.distance"
2019-09-11 16:41:00,2
2019-09-11 16:42:00,1
2019-09-11 16:49:00,1
