181,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-08-03 05:00:00,11
2019-08-03 05:01:00,14
2019-08-03 05:02:00,15
2019-08-03 05:03:00,14
2019-08-03 05:04:00,9
2019-08-03 05:05:00,9
2019-08-03 05:06:00,14
2019-08-03 05:07:00,15
2019-08-03 05:08:00,8
2019-08-03 05:16:00,4
2019-08-03 05:17:00,14
2019-08-03 05:18:00,6
2019-08-03 05:20:00,7
2019-08-03 05:21:00,1
2019-08-03 06:12:00,3
2019-08-03 06:13:00,2
2019-08-03 18:02:00,5
2019-08-03 18:03:00,10
2019-08-03 18:04:00,11
2019-08-03 18:05:00,6
2019-08-03 18:06:00,3
