103,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-08-03 00:02:00,2
2019-08-03 00:11:00,2
2019-08-03 00:19:00,2
2019-08-03 00:26:00,2
2019-08-03 00:35:00,2
2019-08-03 00:40:00,2
2019-08-03 00:47:00,1
2019-08-03 00:52:00,1
2019-08-03 00:56:00,1
2019-08-03 01:45:00,1
2019-08-03 01:54:00,4
2019-08-03 01:58:00,1
2019-08-03 02:00:00,1
2019-08-03 02:02:00,1
2019-08-03 02:04:00,1
2019-08-03 02:05:00,1
2019-08-03 02:07:00,1
2019-08-03 02:09:00,1
2019-08-03 02:11:00,1
2019-08-03 02:12:00,1
2019-08-03 02:14:00,1
2019-08-03 02:16:00,1
2019-08-03 02:19:00,1
2019-08-03 02:20:00,1
2019-08-03 02:23:00,2
2019-08-03 02:28:00,2
2019-08-03 02:32:00,4
2019-08-03 02:37:00,1
2019-08-03 02:38:00,1
2019-08-03 02:41:00,1
2019-08-03 03:08:00,1
2019-08-03 03:16:00,1
2019-08-03 03:30:00,1
2019-08-03 03:35:00,1
2019-08-03 04:23:00,1
2019-08-03 04:29:00,1
2019-08-03 04:32:00,1
2019-08-03 04:37:00,1
2019-08-03 04:41:00,1
2019-08-03 04:58:00,1
2019-08-03 05:03:00,1
2019-08-03 05:04:00,1
2019-08-03 05:08:00,1
2019-08-03 05:12:00,1
2019-08-03 05:15:00,1
2019-08-03 05:19:00,1
2019-08-03 05:23:00,1
2019-08-03 05:28:00,1
2019-08-03 05:31:00,1
2019-08-03 05:35:00,1
2019-08-03 05:55:00,1
2019-08-03 05:59:00,1
2019-08-03 06:04:00,1
2019-08-03 06:08:00,1
2019-08-03 06:12:00,1
2019-08-03 06:16:00,1
2019-08-03 06:17:00,1
2019-08-03 06:18:00,1
2019-08-03 06:20:00,1
2019-08-03 06:21:00,1
2019-08-03 06:24:00,1
2019-08-03 06:26:00,1
2019-08-03 06:28:00,1
2019-08-03 06:30:00,1
2019-08-03 06:31:00,1
2019-08-03 06:33:00,1
2019-08-03 06:56:00,1
2019-08-03 07:10:00,1
2019-08-03 07:16:00,1
2019-08-03 07:20:00,2
2019-08-03 07:23:00,1
2019-08-03 07:24:00,2
2019-08-03 07:27:00,2
2019-08-03 07:28:00,1
2019-08-03 07:30:00,1
2019-08-03 07:32:00,2
2019-08-03 07:36:00,3
2019-08-03 07:39:00,2
2019-08-03 07:42:00,1
2019-08-03 07:46:00,1
2019-08-03 07:48:00,1
2019-08-03 13:15:00,1
