17,"select p.ra, p.dec, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid"
2019-06-16 14:09:00,1
2019-06-16 14:22:00,1
2019-06-16 14:29:00,2
2019-06-16 14:30:00,1
2019-06-16 14:32:00,2
2019-06-16 14:33:00,1
2019-06-16 14:34:00,1
2019-06-16 14:36:00,2
2019-06-16 14:38:00,1
2019-06-16 14:57:00,2
2019-06-16 14:59:00,1
2019-06-16 15:19:00,1
2019-06-16 15:23:00,1
