57,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, s.z as redshift, s.zErr as e_redshift, s.zwarning, p.petrorad_u, p.petrorad_g, p.petrorad_r, p.petrorad_i, p.petrorad_z, p.petroraderr_u, p.petroraderr_g, p.petroraderr_r, p.petroraderr_i, p.petroraderr_z from galaxy p, specobj s, dbo.fgetNearByObjEq(#,+#,#)n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and(p.g BETWEEN # and #) order by p.g"
2019-06-16 02:28:00,1
2019-06-16 02:30:00,1
2019-06-16 02:32:00,1
2019-06-16 02:37:00,1
2019-06-16 02:39:00,1
2019-06-16 02:41:00,2
2019-06-16 02:44:00,1
2019-06-16 02:46:00,1
2019-06-16 02:48:00,1
2019-06-16 02:49:00,1
2019-06-16 02:51:00,1
2019-06-16 02:52:00,1
2019-06-16 02:55:00,1
2019-06-16 02:56:00,1
2019-06-16 02:57:00,1
2019-06-16 03:01:00,2
2019-06-16 03:02:00,1
2019-06-16 03:04:00,1
2019-06-16 03:05:00,1
2019-06-16 03:10:00,1
2019-06-16 03:11:00,1
2019-06-16 03:19:00,2
2019-06-16 03:22:00,1
2019-06-16 03:25:00,1
2019-06-16 03:26:00,2
2019-06-16 03:27:00,1
2019-06-16 03:34:00,1
2019-06-16 03:36:00,1
2019-06-16 03:41:00,1
2019-06-16 03:50:00,1
2019-06-16 03:52:00,1
2019-06-16 03:53:00,1
2019-06-16 03:55:00,1
2019-06-16 03:56:00,1
2019-06-16 03:59:00,1
2019-06-16 04:02:00,1
2019-06-16 04:04:00,1
2019-06-16 04:05:00,1
2019-06-16 04:07:00,1
2019-06-16 04:08:00,1
2019-06-16 04:09:00,2
2019-06-16 04:10:00,1
2019-06-16 04:11:00,1
2019-06-16 04:12:00,2
2019-06-16 04:13:00,1
2019-06-16 12:17:00,1
2019-06-16 12:18:00,1
2019-06-16 12:19:00,1
2019-06-16 12:21:00,1
2019-06-16 12:22:00,1
2019-06-16 12:24:00,1
