50,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-06-16 12:19:00,1
2019-06-16 12:28:00,1
2019-06-16 12:40:00,1
2019-06-16 12:49:00,1
2019-06-16 13:04:00,1
2019-06-16 13:08:00,1
2019-06-16 13:11:00,1
2019-06-16 13:12:00,1
2019-06-16 13:17:00,1
2019-06-16 13:18:00,1
2019-06-16 13:21:00,1
2019-06-16 13:22:00,1
2019-06-16 14:15:00,2
2019-06-16 14:28:00,1
2019-06-16 14:29:00,1
2019-06-16 14:32:00,1
2019-06-16 14:33:00,1
2019-06-16 14:36:00,1
2019-06-16 15:20:00,1
2019-06-16 16:54:00,1
2019-06-16 17:13:00,1
2019-06-16 17:16:00,1
2019-06-16 17:23:00,1
2019-06-16 17:25:00,1
2019-06-16 17:31:00,1
2019-06-16 17:35:00,1
2019-06-16 18:04:00,1
2019-06-16 18:08:00,1
2019-06-16 18:16:00,1
2019-06-16 18:22:00,1
2019-06-16 18:28:00,1
2019-06-16 18:41:00,1
2019-06-16 18:52:00,1
2019-06-16 20:19:00,1
2019-06-16 20:26:00,1
2019-06-16 20:45:00,1
2019-06-16 21:43:00,1
2019-06-16 21:49:00,1
2019-06-16 21:58:00,1
2019-06-16 22:06:00,1
2019-06-16 22:11:00,1
2019-06-16 22:12:00,1
2019-06-16 22:14:00,1
2019-06-16 22:32:00,1
2019-06-16 22:36:00,1
2019-06-16 22:40:00,1
2019-06-16 22:50:00,1
2019-06-16 22:53:00,1
2019-06-16 22:58:00,1
