203,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-10-02 05:00:00,5
2019-10-02 05:01:00,14
2019-10-02 05:02:00,14
2019-10-02 05:03:00,15
2019-10-02 05:04:00,14
2019-10-02 05:05:00,14
2019-10-02 05:06:00,14
2019-10-02 05:07:00,13
2019-10-02 05:11:00,1
2019-10-02 05:15:00,2
2019-10-02 05:16:00,10
2019-10-02 05:17:00,9
2019-10-02 05:18:00,10
2019-10-02 05:24:00,3
2019-10-02 05:29:00,7
2019-10-02 05:30:00,9
2019-10-02 05:31:00,5
2019-10-02 18:00:00,3
2019-10-02 18:01:00,7
2019-10-02 18:02:00,10
2019-10-02 18:03:00,10
2019-10-02 18:04:00,4
2019-10-02 18:07:00,3
2019-10-02 18:08:00,7
