3,"SELECT A.IDX,A.RAJ2#_#,A.DEJ2#_#,C.ra,C.dec,C.class,C.subClass,C.z,B.distance FROM   MyDB.PairsWA AS A   OUTER APPLY dbo.fGetNearestObjEq(A.RAJ2#_#,A.DEJ2#_#,#./#.) AS B   LEFT OUTER JOIN SpecPhotoAll AS C ON B.objID=C.objID ORDER BY A.IDX INTO    MyDB.WAPairsSpecPhotoAllQSOComp1"
2019-10-02 16:49:00,2
2019-10-02 16:52:00,1
