5,"SELECT TOP # soa.specObjID, poa.ra, poa.dec, soa.z, soa.cx, soa.cy, soa.cz, poa.modelmag_r, poa.r, poa.u, poa.g, poa.i FROM SpecObjAll as soa, PhotoObjAll as poa WHERE soa.specObjID=poa.specObjID AND soa.z># AND #<=soa.ra AND soa.ra<=# AND #<=poa.dec AND poa.dec<=#"
2019-10-02 19:28:00,2
2019-10-02 19:29:00,2
2019-10-02 19:35:00,1
