4,"select top # p.objid as name, p.ra, p.dec from photoobj p, specobj s where p.objid=s.bestobjid and s.z BETWEEN # AND #"
2019-10-02 22:46:00,1
2019-10-02 22:47:00,2
2019-10-02 22:48:00,1
