106,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-10-02 05:07:00,1
2019-10-02 05:11:00,1
2019-10-02 05:12:00,5
2019-10-02 05:13:00,9
2019-10-02 05:14:00,9
2019-10-02 05:15:00,8
2019-10-02 05:16:00,10
2019-10-02 05:17:00,9
2019-10-02 05:18:00,10
2019-10-02 05:24:00,3
2019-10-02 05:29:00,7
2019-10-02 05:30:00,9
2019-10-02 05:31:00,5
2019-10-02 18:05:00,1
2019-10-02 18:06:00,5
2019-10-02 18:07:00,7
2019-10-02 18:08:00,7
