17,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-10-02 15:26:00,1
2019-10-02 17:22:00,1
2019-10-02 18:03:00,1
2019-10-02 18:04:00,1
2019-10-02 18:13:00,1
2019-10-02 18:24:00,2
2019-10-02 18:33:00,1
2019-10-02 18:58:00,1
2019-10-02 19:06:00,1
2019-10-02 19:12:00,1
2019-10-02 19:22:00,1
2019-10-02 19:49:00,1
2019-10-02 19:56:00,1
2019-10-02 20:02:00,1
2019-10-02 20:06:00,1
2019-10-02 20:11:00,1
