14,"select p.ra, p.dec, p.j_m, p.h_m, p.k_m from photoObjAll p join dbo.fGetNearByObjEq(#, #, #) n on n.objID = p.objID"
2019-10-02 12:32:00,1
2019-10-02 12:33:00,2
2019-10-02 12:34:00,2
2019-10-02 12:35:00,2
2019-10-02 12:36:00,2
2019-10-02 12:37:00,2
2019-10-02 12:38:00,1
2019-10-02 12:40:00,1
2019-10-02 12:43:00,1
