2,"SELECT to upload -- the results to the DAS (Data Archive Server) for FITS file retrieval. SELECT #    p.objid,p.ra,p.dec,p.u,p.Err_u,p.g, p.Err_g,p.r, p.Err_r,p.i, p.Err_i,p.z, p.Err_z, p.type, s.z as Redshift, s.zErr  FROM PhotoObjAll AS p    JOIN SpecObjAll AS s ON s.bestobjid = p.objid WHERE     p.i > #     AND p.z > #     AND s.z BETWEEN # AND #    AND p.ra BETWEEN # AND #    AND p.dec BETWEEN # AND #    AND p.type = #"
2019-09-26 13:42:00,1
2019-09-26 13:43:00,1
