3,"SELECT     ra, dec, u, err_u, g, err_g, r, err_r, i, err_i, z, err_z, objID into mydb.MyTable from PhotoPrimary WHERE     objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = #"
2019-09-26 18:51:00,2
2019-09-26 18:56:00,1
