41,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-09-26 01:25:00,1
2019-09-26 03:16:00,1
2019-09-26 05:18:00,8
2019-09-26 05:19:00,3
2019-09-26 07:48:00,1
2019-09-26 08:54:00,1
2019-09-26 11:57:00,1
2019-09-26 12:00:00,2
2019-09-26 13:02:00,1
2019-09-26 13:04:00,1
2019-09-26 13:07:00,1
2019-09-26 13:22:00,1
2019-09-26 13:27:00,1
2019-09-26 14:56:00,1
2019-09-26 15:49:00,1
2019-09-26 16:26:00,1
2019-09-26 19:41:00,14
2019-09-26 19:42:00,1
