4,"SELECT TOP #   ra, dec, modelMag_u , modelMag_g , modelMag_r,modelMag_i,modelMag_z, z into mydb.MyTable_ofof from SpecPhoto WHERE    z BETWEEN # AND #   AND dec BETWEEN # AND #"
2019-09-26 14:06:00,1
2019-09-26 14:11:00,1
2019-09-26 14:14:00,2
