4,"SELECT     p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,    p.deVRad_r, p.deVAB_r,p.expRad_r, p.expAB_r,p.deVMag_r, p.expMag_r,p.petror5#_i,p.petroR5#Err_i,p.petror9#_i,p.petror9#Err_i,p.q_r,p.u_r,s.specObjID,s.targetObjID,s.ObjID,s.specObjID   into mydb.MyTable_sdss_spire from PhotoObjAll AS p   JOIN mydb.MyTable_# AS s ON s.objid = p.objid"
2019-09-26 12:11:00,2
2019-09-26 12:13:00,2
