13,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-09-26 03:07:00,1
2019-09-26 03:14:00,1
2019-09-26 03:22:00,1
2019-09-26 04:05:00,1
2019-09-26 04:15:00,1
2019-09-26 04:25:00,1
2019-09-26 05:07:00,1
2019-09-26 08:45:00,1
2019-09-26 10:59:00,1
2019-09-26 11:01:00,1
2019-09-26 11:08:00,1
2019-09-26 12:03:00,1
2019-09-26 13:41:00,1
