483,"SELECT g.objid, g.ra, g.dec, g. dered_g, g. dered_r, err_g, err_r, petroRad_r, petroRadErr_r FROM Galaxy AS g, dbo.fGetNearbyObjEq(#,#,#) AS n WHERE g.objID = n.objID AND ((g.flags_r & #) != #) AND ((g.flags_r & #) = #) AND (((g.flags_r & #) = #) or (g.psfmagerr_r <= #)) AND (((g.flags_r & #) = #) or (g.flags_r & #) = #)"
2019-09-26 14:26:00,1
2019-09-26 14:27:00,15
2019-09-26 14:28:00,9
2019-09-26 15:24:00,7
2019-09-26 15:25:00,8
2019-09-26 15:26:00,17
2019-09-26 15:27:00,12
2019-09-26 15:28:00,17
2019-09-26 15:29:00,12
2019-09-26 15:43:00,1
2019-09-26 15:46:00,1
2019-09-26 15:47:00,1
2019-09-26 15:48:00,15
2019-09-26 15:52:00,10
2019-09-26 15:53:00,2
2019-09-26 15:54:00,11
2019-09-26 15:55:00,13
2019-09-26 15:56:00,19
2019-09-26 15:57:00,19
2019-09-26 15:58:00,17
2019-09-26 15:59:00,13
2019-09-26 16:00:00,2
2019-09-26 16:01:00,18
2019-09-26 16:02:00,17
2019-09-26 16:03:00,6
2019-09-26 16:04:00,7
2019-09-26 16:05:00,15
2019-09-26 16:06:00,12
2019-09-26 16:07:00,14
2019-09-26 16:08:00,18
2019-09-26 16:09:00,11
2019-09-26 16:10:00,14
2019-09-26 16:11:00,11
2019-09-26 16:12:00,12
2019-09-26 16:13:00,6
2019-09-26 16:14:00,5
2019-09-26 16:15:00,13
2019-09-26 16:16:00,10
2019-09-26 16:17:00,19
2019-09-26 16:18:00,14
2019-09-26 16:19:00,9
2019-09-26 16:20:00,13
2019-09-26 16:21:00,17
