51,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-09-26 00:08:00,1
2019-09-26 00:44:00,1
2019-09-26 01:13:00,1
2019-09-26 01:14:00,1
2019-09-26 02:33:00,4
2019-09-26 04:29:00,1
2019-09-26 05:31:00,2
2019-09-26 07:14:00,1
2019-09-26 08:01:00,1
2019-09-26 08:52:00,1
2019-09-26 09:24:00,1
2019-09-26 09:32:00,1
2019-09-26 10:27:00,2
2019-09-26 10:28:00,1
2019-09-26 11:56:00,1
2019-09-26 11:57:00,2
2019-09-26 13:31:00,1
2019-09-26 13:32:00,1
2019-09-26 14:38:00,1
2019-09-26 15:28:00,1
2019-09-26 15:50:00,2
2019-09-26 16:06:00,1
2019-09-26 16:21:00,1
2019-09-26 17:58:00,3
2019-09-26 18:01:00,1
2019-09-26 18:07:00,3
2019-09-26 18:08:00,2
2019-09-26 20:09:00,1
2019-09-26 20:53:00,1
2019-09-26 20:54:00,1
2019-09-26 21:03:00,1
2019-09-26 21:04:00,2
2019-09-26 21:05:00,1
2019-09-26 21:13:00,1
2019-09-26 22:37:00,1
2019-09-26 22:38:00,3
