4,"SELECT TOP #   a.OBJID AS OBJID,    sp.specObjID AS sdssid_specobjall_spec,   sp.z AS zsp_sp,   sp.zErr AS e_zsp,   sp.class AS class,   sp.subClass AS subClass,   sp.zWarning AS zWarning,      n.distance AS SEPARATION_AKARI_SDSS1#     /* INTO    mydb.akari_#_output  */    FROM MyDB.akari_# AS a    CROSS APPLY dbo.fGetNearestSpecObjEq( a.RA, a.DEC, #) AS n   JOIN SpecObjAll AS sp ON n.specObjID = sp.specObjID"
2019-08-18 08:14:00,2
2019-08-18 08:15:00,1
2019-08-18 08:16:00,1
