74,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-08-18 07:14:00,2
2019-08-18 07:15:00,2
2019-08-18 07:16:00,2
2019-08-18 07:18:00,2
2019-08-18 11:04:00,2
2019-08-18 11:06:00,2
2019-08-18 11:08:00,2
2019-08-18 11:12:00,2
2019-08-18 11:13:00,4
2019-08-18 11:14:00,2
2019-08-18 11:15:00,2
2019-08-18 11:16:00,2
2019-08-18 11:17:00,2
2019-08-18 11:18:00,2
2019-08-18 11:19:00,2
2019-08-18 11:22:00,2
2019-08-18 11:24:00,2
2019-08-18 11:27:00,2
2019-08-18 11:28:00,2
2019-08-18 12:00:00,2
2019-08-18 12:01:00,2
2019-08-18 12:03:00,2
2019-08-18 12:05:00,2
2019-08-18 12:18:00,2
2019-08-18 12:19:00,2
2019-08-18 12:20:00,2
2019-08-18 12:21:00,2
2019-08-18 18:58:00,2
2019-08-18 19:01:00,4
2019-08-18 19:02:00,2
2019-08-18 19:05:00,2
2019-08-18 19:06:00,2
2019-08-18 19:07:00,2
2019-08-18 19:08:00,2
2019-08-18 19:10:00,2
