118,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and #/SQRT(psfFluxIvar_u)/psfFlux_u < # and #/SQRT(psfFluxIvar_g)/psfFlux_g < # and #/SQRT(psfFluxIvar_r)/psfFlux_r < # and #/SQRT(psfFluxIvar_i)/psfFlux_i < #"
2019-08-18 20:34:00,1
2019-08-18 20:50:00,1
2019-08-18 20:54:00,1
2019-08-18 21:02:00,1
2019-08-18 21:05:00,1
2019-08-18 21:08:00,1
2019-08-18 21:10:00,1
2019-08-18 21:13:00,1
2019-08-18 21:15:00,1
2019-08-18 21:17:00,1
2019-08-18 21:19:00,1
2019-08-18 21:21:00,1
2019-08-18 21:23:00,1
2019-08-18 21:25:00,1
2019-08-18 21:27:00,1
2019-08-18 21:31:00,1
2019-08-18 21:33:00,1
2019-08-18 21:35:00,1
2019-08-18 21:36:00,1
2019-08-18 21:40:00,1
2019-08-18 21:44:00,1
2019-08-18 21:46:00,1
2019-08-18 21:50:00,1
2019-08-18 21:52:00,1
2019-08-18 21:53:00,1
2019-08-18 21:55:00,1
2019-08-18 21:57:00,1
2019-08-18 21:59:00,1
2019-08-18 22:00:00,1
2019-08-18 22:02:00,1
2019-08-18 22:04:00,1
2019-08-18 22:05:00,1
2019-08-18 22:07:00,1
2019-08-18 22:09:00,1
2019-08-18 22:11:00,1
2019-08-18 22:12:00,1
2019-08-18 22:14:00,1
2019-08-18 22:15:00,1
2019-08-18 22:17:00,1
2019-08-18 22:19:00,1
2019-08-18 22:20:00,1
2019-08-18 22:22:00,1
2019-08-18 22:23:00,1
2019-08-18 22:25:00,1
2019-08-18 22:26:00,1
2019-08-18 22:28:00,1
2019-08-18 22:29:00,1
2019-08-18 22:31:00,1
2019-08-18 22:34:00,1
2019-08-18 22:35:00,1
2019-08-18 22:37:00,1
2019-08-18 22:38:00,1
2019-08-18 22:41:00,1
2019-08-18 22:42:00,1
2019-08-18 22:43:00,1
2019-08-18 22:45:00,1
2019-08-18 22:46:00,1
2019-08-18 22:48:00,1
2019-08-18 22:49:00,1
2019-08-18 22:50:00,1
2019-08-18 22:51:00,1
2019-08-18 22:53:00,1
2019-08-18 22:54:00,1
2019-08-18 22:55:00,1
2019-08-18 22:56:00,1
2019-08-18 22:57:00,1
2019-08-18 22:58:00,1
2019-08-18 22:59:00,1
2019-08-18 23:01:00,1
2019-08-18 23:02:00,1
2019-08-18 23:03:00,1
2019-08-18 23:04:00,1
2019-08-18 23:05:00,1
2019-08-18 23:07:00,1
2019-08-18 23:09:00,1
2019-08-18 23:10:00,1
2019-08-18 23:11:00,1
2019-08-18 23:13:00,1
2019-08-18 23:14:00,1
2019-08-18 23:15:00,1
2019-08-18 23:16:00,1
2019-08-18 23:17:00,1
2019-08-18 23:19:00,1
2019-08-18 23:20:00,1
2019-08-18 23:21:00,1
2019-08-18 23:22:00,1
2019-08-18 23:23:00,1
2019-08-18 23:24:00,1
2019-08-18 23:25:00,1
2019-08-18 23:27:00,1
2019-08-18 23:28:00,1
2019-08-18 23:29:00,1
2019-08-18 23:30:00,1
2019-08-18 23:31:00,1
2019-08-18 23:32:00,1
2019-08-18 23:33:00,1
2019-08-18 23:34:00,1
2019-08-18 23:35:00,1
2019-08-18 23:37:00,1
2019-08-18 23:38:00,1
2019-08-18 23:39:00,1
2019-08-18 23:40:00,1
2019-08-18 23:41:00,1
2019-08-18 23:42:00,1
2019-08-18 23:44:00,1
2019-08-18 23:45:00,1
2019-08-18 23:46:00,1
2019-08-18 23:47:00,1
2019-08-18 23:48:00,1
2019-08-18 23:50:00,1
2019-08-18 23:51:00,1
2019-08-18 23:52:00,1
2019-08-18 23:53:00,1
2019-08-18 23:54:00,1
2019-08-18 23:55:00,1
2019-08-18 23:57:00,1
2019-08-18 23:58:00,1
2019-08-18 23:59:00,1
