254,SELECT count(*) FROM SpecObj WHERE SUBCLASS=&&&
2019-02-05 03:48:00,1
2019-02-05 03:49:00,1
2019-02-05 03:50:00,1
2019-02-05 03:51:00,2
2019-02-05 03:55:00,1
2019-02-05 03:58:00,29
2019-02-05 03:59:00,28
2019-02-05 04:00:00,9
2019-02-05 04:02:00,1
2019-02-05 04:03:00,1
2019-02-05 04:06:00,1
2019-02-05 04:07:00,13
2019-02-05 04:08:00,11
2019-02-05 04:09:00,15
2019-02-05 04:15:00,1
2019-02-05 04:16:00,18
2019-02-05 04:17:00,23
2019-02-05 04:18:00,52
2019-02-05 04:19:00,7
2019-02-05 04:23:00,39
