12,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-02-05 03:30:00,1
2019-02-05 03:49:00,1
2019-02-05 05:21:00,1
2019-02-05 06:02:00,1
2019-02-05 06:39:00,1
2019-02-05 06:50:00,1
2019-02-05 07:50:00,1
2019-02-05 09:33:00,1
2019-02-05 16:36:00,1
2019-02-05 20:06:00,1
2019-02-05 20:24:00,1
2019-02-05 20:42:00,1
