16,"SELECT sp.ra, sp.dec, sp.z as redshift, sp.modelMag_g as g, sp.modelMagerr_g as err_g,  sp.modelMag_i as i, sp.modelMagerr_i as err_i, gs.h_alpha_eqw, gs.oii_#_eqw   FROM GalSpecLine AS gs  JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN ON GN.specobjID = gs.specobjid JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  WHERE  h_alpha_eqw between # and #  and oii_#_eqw between # and #  and sp.modelMag_g-sp.modelMag_i between # and #  and sp.z between # and #  and sp.modelMag_i-#*log1#(#E+#*sp.z) < #  and gal.petroR9#_i/gal.petroR5#_i > #"
2019-02-05 09:06:00,1
2019-02-05 09:08:00,1
2019-02-05 12:16:00,1
2019-02-05 12:31:00,1
2019-02-05 13:08:00,1
2019-02-05 13:28:00,1
2019-02-05 15:39:00,1
2019-02-05 15:47:00,1
2019-02-05 15:50:00,1
2019-02-05 15:53:00,1
2019-02-05 15:56:00,1
2019-02-05 16:23:00,1
2019-02-05 17:02:00,1
2019-02-05 17:07:00,2
2019-02-05 17:09:00,1
