2,"SELECT TOP #  s.dec,cast(str(s.ra,#,#) as float) as ra,s.z  FROM ..SpecObj as s  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  JOIN PhotoObj AS p ON s.bestobjid=p.objid  WHERE s.z > # AND s.zWarning = # AND (s.class = &&&) AND s.z < # AND p.r > # AND p.r < # AND (s.primTarget & (dbo.fPrimTarget(&&&)) > #)"
2019-02-05 15:55:00,1
2019-02-05 16:02:00,1
