277,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-02-05 00:34:00,8
2019-02-05 00:35:00,2
2019-02-05 00:36:00,2
2019-02-05 00:38:00,2
2019-02-05 00:43:00,6
2019-02-05 00:44:00,2
2019-02-05 00:47:00,2
2019-02-05 01:16:00,4
2019-02-05 01:17:00,6
2019-02-05 01:19:00,2
2019-02-05 01:20:00,2
2019-02-05 02:00:00,2
2019-02-05 02:01:00,6
2019-02-05 02:02:00,2
2019-02-05 02:03:00,2
2019-02-05 02:05:00,2
2019-02-05 02:15:00,6
2019-02-05 02:16:00,5
2019-02-05 02:17:00,1
2019-02-05 02:18:00,2
2019-02-05 02:19:00,2
2019-02-05 02:29:00,2
2019-02-05 02:30:00,6
2019-02-05 02:31:00,2
2019-02-05 02:32:00,2
2019-02-05 02:43:00,6
2019-02-05 02:44:00,4
2019-02-05 02:45:00,1
2019-02-05 02:47:00,2
2019-02-05 03:07:00,6
2019-02-05 03:09:00,4
2019-02-05 03:11:00,2
2019-02-05 03:30:00,8
2019-02-05 03:32:00,5
2019-02-05 03:34:00,3
2019-02-05 03:49:00,8
2019-02-05 03:50:00,3
2019-02-05 03:53:00,3
2019-02-05 03:55:00,2
2019-02-05 04:09:00,1
2019-02-05 04:10:00,3
2019-02-05 04:13:00,1
2019-02-05 04:23:00,3
2019-02-05 04:24:00,7
2019-02-05 04:26:00,1
2019-02-05 04:28:00,2
2019-02-05 04:37:00,1
2019-02-05 04:38:00,5
2019-02-05 04:39:00,4
2019-02-05 04:41:00,1
2019-02-05 04:43:00,2
2019-02-05 05:21:00,10
2019-02-05 05:22:00,3
2019-02-05 05:24:00,3
2019-02-05 05:27:00,2
2019-02-05 06:02:00,5
2019-02-05 06:03:00,3
2019-02-05 06:04:00,5
2019-02-05 06:06:00,2
2019-02-05 06:39:00,8
2019-02-05 06:40:00,5
2019-02-05 06:42:00,3
2019-02-05 06:45:00,2
2019-02-05 06:49:00,2
2019-02-05 06:50:00,10
2019-02-05 06:52:00,1
2019-02-05 06:55:00,2
2019-02-05 07:11:00,4
2019-02-05 07:13:00,1
2019-02-05 07:30:00,1
2019-02-05 07:31:00,1
2019-02-05 07:32:00,1
2019-02-05 07:35:00,1
2019-02-05 07:36:00,2
2019-02-05 07:50:00,5
2019-02-05 07:53:00,1
2019-02-05 08:35:00,1
2019-02-05 08:36:00,1
2019-02-05 08:38:00,1
2019-02-05 08:40:00,1
2019-02-05 08:48:00,4
2019-02-05 08:49:00,2
2019-02-05 08:50:00,4
2019-02-05 08:51:00,2
2019-02-05 08:52:00,1
2019-02-05 08:53:00,1
2019-02-05 09:32:00,1
2019-02-05 09:33:00,3
2019-02-05 09:34:00,3
2019-02-05 09:35:00,1
