9602,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-02-05 00:00:00,10
2019-02-05 00:01:00,10
2019-02-05 00:02:00,10
2019-02-05 00:03:00,6
2019-02-05 00:04:00,9
2019-02-05 00:05:00,7
2019-02-05 00:06:00,8
2019-02-05 00:07:00,10
2019-02-05 00:11:00,25
2019-02-05 00:12:00,10
2019-02-05 00:13:00,5
2019-02-05 00:14:00,5
2019-02-05 10:50:00,27
2019-02-05 10:51:00,53
2019-02-05 10:52:00,40
2019-02-05 10:53:00,36
2019-02-05 10:54:00,54
2019-02-05 10:55:00,50
2019-02-05 11:05:00,1
2019-02-05 11:06:00,37
2019-02-05 11:07:00,52
2019-02-05 11:08:00,45
2019-02-05 11:09:00,52
2019-02-05 11:10:00,43
2019-02-05 11:11:00,30
2019-02-05 11:16:00,2
2019-02-05 11:17:00,39
2019-02-05 11:18:00,55
2019-02-05 11:19:00,44
2019-02-05 11:20:00,52
2019-02-05 11:21:00,39
2019-02-05 11:22:00,29
2019-02-05 11:31:00,10
2019-02-05 11:32:00,43
2019-02-05 11:33:00,56
2019-02-05 11:34:00,36
2019-02-05 11:35:00,60
2019-02-05 11:36:00,37
2019-02-05 11:37:00,18
2019-02-05 11:42:00,35
2019-02-05 11:43:00,51
2019-02-05 11:44:00,49
2019-02-05 11:45:00,49
2019-02-05 11:46:00,43
2019-02-05 11:47:00,33
2019-02-05 11:48:00,26
2019-02-05 11:49:00,54
2019-02-05 11:50:00,45
2019-02-05 11:51:00,40
2019-02-05 11:52:00,45
2019-02-05 11:53:00,50
2019-02-05 11:54:00,39
2019-02-05 11:55:00,35
2019-02-05 11:56:00,47
2019-02-05 11:57:00,49
2019-02-05 11:58:00,50
2019-02-05 11:59:00,40
2019-02-05 12:00:00,55
2019-02-05 12:01:00,19
2019-02-05 12:02:00,40
2019-02-05 12:03:00,37
2019-02-05 12:04:00,56
2019-02-05 12:05:00,37
2019-02-05 12:06:00,26
2019-02-05 12:07:00,47
2019-02-05 12:08:00,40
2019-02-05 12:09:00,39
2019-02-05 12:10:00,40
2019-02-05 12:11:00,12
2019-02-05 12:12:00,53
2019-02-05 12:13:00,37
2019-02-05 12:14:00,48
2019-02-05 12:15:00,53
2019-02-05 12:16:00,50
2019-02-05 12:17:00,35
2019-02-05 12:18:00,42
2019-02-05 12:19:00,45
2019-02-05 12:20:00,51
2019-02-05 12:21:00,38
2019-02-05 12:22:00,39
2019-02-05 12:23:00,40
2019-02-05 12:24:00,52
2019-02-05 12:25:00,41
2019-02-05 12:26:00,41
2019-02-05 12:27:00,42
2019-02-05 12:28:00,38
2019-02-05 12:29:00,43
2019-02-05 12:30:00,40
2019-02-05 12:31:00,40
2019-02-05 12:32:00,50
2019-02-05 12:33:00,35
2019-02-05 12:34:00,50
2019-02-05 12:35:00,27
2019-02-05 12:36:00,53
2019-02-05 12:37:00,30
2019-02-05 12:39:00,30
2019-02-05 12:40:00,50
2019-02-05 12:41:00,48
2019-02-05 12:42:00,35
2019-02-05 12:43:00,47
2019-02-05 12:44:00,50
2019-02-05 12:45:00,50
2019-02-05 12:46:00,33
2019-02-05 12:47:00,48
2019-02-05 12:48:00,48
2019-02-05 12:49:00,51
2019-02-05 12:50:00,35
2019-02-05 12:51:00,50
2019-02-05 12:52:00,29
2019-02-05 12:53:00,38
2019-02-05 12:54:00,47
2019-02-05 12:55:00,45
2019-02-05 12:56:00,40
2019-02-05 12:57:00,34
2019-02-05 12:58:00,40
2019-02-05 12:59:00,43
2019-02-05 13:00:00,36
2019-02-05 13:01:00,29
2019-02-05 13:02:00,29
2019-02-05 13:03:00,56
2019-02-05 13:04:00,45
2019-02-05 13:05:00,43
2019-02-05 13:06:00,50
2019-02-05 13:07:00,52
2019-02-05 13:08:00,44
2019-02-05 13:09:00,45
2019-02-05 13:10:00,48
2019-02-05 13:11:00,48
2019-02-05 13:12:00,40
2019-02-05 13:13:00,43
2019-02-05 13:14:00,55
2019-02-05 13:15:00,40
2019-02-05 13:16:00,42
2019-02-05 13:17:00,45
2019-02-05 13:18:00,46
2019-02-05 13:19:00,35
2019-02-05 13:20:00,48
2019-02-05 13:21:00,36
2019-02-05 13:22:00,50
2019-02-05 13:23:00,51
2019-02-05 13:24:00,44
2019-02-05 13:25:00,35
2019-02-05 13:26:00,38
2019-02-05 13:27:00,42
2019-02-05 13:28:00,45
2019-02-05 13:29:00,44
2019-02-05 13:30:00,38
2019-02-05 13:31:00,50
2019-02-05 13:32:00,48
2019-02-05 13:33:00,38
2019-02-05 13:34:00,32
2019-02-05 13:35:00,35
2019-02-05 13:36:00,55
2019-02-05 13:37:00,33
2019-02-05 13:38:00,42
2019-02-05 13:39:00,41
2019-02-05 13:40:00,41
2019-02-05 13:41:00,45
2019-02-05 13:42:00,35
2019-02-05 13:43:00,52
2019-02-05 13:44:00,21
2019-02-05 13:46:00,10
2019-02-05 13:48:00,20
2019-02-05 13:49:00,15
2019-02-05 13:51:00,20
2019-02-05 13:55:00,43
2019-02-05 13:56:00,7
2019-02-05 13:57:00,10
2019-02-05 13:58:00,11
2019-02-05 13:59:00,4
2019-02-05 14:05:00,50
2019-02-05 14:07:00,4
2019-02-05 14:08:00,26
2019-02-05 14:09:00,5
2019-02-05 14:10:00,15
2019-02-05 14:11:00,10
2019-02-05 14:12:00,5
2019-02-05 14:14:00,2
2019-02-05 14:15:00,23
2019-02-05 14:16:00,15
2019-02-05 14:17:00,20
2019-02-05 14:18:00,5
2019-02-05 14:23:00,30
2019-02-05 14:24:00,10
2019-02-05 14:32:00,2
2019-02-05 14:33:00,52
2019-02-05 14:34:00,11
2019-02-05 14:39:00,33
2019-02-05 14:40:00,1
2019-02-05 14:41:00,15
2019-02-05 14:42:00,14
2019-02-05 14:43:00,5
2019-02-05 14:44:00,17
2019-02-05 14:45:00,4
2019-02-05 14:46:00,1
2019-02-05 14:48:00,25
2019-02-05 14:49:00,11
2019-02-05 14:50:00,10
2019-02-05 14:51:00,6
2019-02-05 14:52:00,12
2019-02-05 14:53:00,14
2019-02-05 14:54:00,16
2019-02-05 14:55:00,1
2019-02-05 14:56:00,1
2019-02-05 14:57:00,1
2019-02-05 14:59:00,27
2019-02-05 15:00:00,14
2019-02-05 15:01:00,10
2019-02-05 15:02:00,3
2019-02-05 15:03:00,3
2019-02-05 15:04:00,2
2019-02-05 15:06:00,1
2019-02-05 15:07:00,1
2019-02-05 15:08:00,2
2019-02-05 15:10:00,38
2019-02-05 15:11:00,18
2019-02-05 15:12:00,8
2019-02-05 15:13:00,7
2019-02-05 15:14:00,15
2019-02-05 15:15:00,10
2019-02-05 15:17:00,20
2019-02-05 15:18:00,5
2019-02-05 15:23:00,21
2019-02-05 15:24:00,24
2019-02-05 15:25:00,15
2019-02-05 15:26:00,10
2019-02-05 15:27:00,5
2019-02-05 15:31:00,20
2019-02-05 15:32:00,5
2019-02-05 15:33:00,20
2019-02-05 15:34:00,5
2019-02-05 15:41:00,50
2019-02-05 15:42:00,5
2019-02-05 15:50:00,24
2019-02-05 15:51:00,32
2019-02-05 15:52:00,7
2019-02-05 15:53:00,10
2019-02-05 15:54:00,11
2019-02-05 15:55:00,1
2019-02-05 16:00:00,1
2019-02-05 16:01:00,46
2019-02-05 16:02:00,7
2019-02-05 16:03:00,12
2019-02-05 16:04:00,1
2019-02-05 16:05:00,19
2019-02-05 16:06:00,10
2019-02-05 16:12:00,1
2019-02-05 16:13:00,46
2019-02-05 16:14:00,6
2019-02-05 16:15:00,12
2019-02-05 16:16:00,12
2019-02-05 16:17:00,6
2019-02-05 16:18:00,10
2019-02-05 16:19:00,19
2019-02-05 16:20:00,7
2019-02-05 16:21:00,15
2019-02-05 16:22:00,5
2019-02-05 16:28:00,35
2019-02-05 16:29:00,15
2019-02-05 16:34:00,1
2019-02-05 16:35:00,1
2019-02-05 16:36:00,13
2019-02-05 16:37:00,32
2019-02-05 16:38:00,10
2019-02-05 16:39:00,5
2019-02-05 16:40:00,15
2019-02-05 16:41:00,5
2019-02-05 16:42:00,15
2019-02-05 16:43:00,10
2019-02-05 16:45:00,15
2019-02-05 16:46:00,1
2019-02-05 16:47:00,19
2019-02-05 16:52:00,10
2019-02-05 16:53:00,44
2019-02-05 16:54:00,46
2019-02-05 16:55:00,10
2019-02-05 16:56:00,5
2019-02-05 16:59:00,1
2019-02-05 17:00:00,1
2019-02-05 17:01:00,2
2019-02-05 17:03:00,51
2019-02-05 17:04:00,6
2019-02-05 17:05:00,2
2019-02-05 17:06:00,17
2019-02-05 17:07:00,6
2019-02-05 17:08:00,15
2019-02-05 17:09:00,5
2019-02-05 17:11:00,20
2019-02-05 17:17:00,1
2019-02-05 17:18:00,40
2019-02-05 17:19:00,17
2019-02-05 17:20:00,6
2019-02-05 17:21:00,15
2019-02-05 17:22:00,11
2019-02-05 17:23:00,5
2019-02-05 17:24:00,21
2019-02-05 17:25:00,1
2019-02-05 17:26:00,10
2019-02-05 17:27:00,5
2019-02-05 17:28:00,1
2019-02-05 17:32:00,1
2019-02-05 17:33:00,3
2019-02-05 17:34:00,51
2019-02-05 17:35:00,7
2019-02-05 17:36:00,1
2019-02-05 17:37:00,11
2019-02-05 17:39:00,1
2019-02-05 17:40:00,2
2019-02-05 17:41:00,3
2019-02-05 17:42:00,1
2019-02-05 17:43:00,30
2019-02-05 17:44:00,6
2019-02-05 17:45:00,16
2019-02-05 17:46:00,10
2019-02-05 17:48:00,2
2019-02-05 17:50:00,1
2019-02-05 17:51:00,3
2019-02-05 17:52:00,1
2019-02-05 17:53:00,30
2019-02-05 17:54:00,19
2019-02-05 17:55:00,12
2019-02-05 17:56:00,6
2019-02-05 17:57:00,3
2019-02-05 17:58:00,5
2019-02-05 17:59:00,6
2019-02-05 18:00:00,7
2019-02-05 18:01:00,5
2019-02-05 18:02:00,4
2019-02-05 18:03:00,8
2019-02-05 18:04:00,5
2019-02-05 18:05:00,55
2019-02-05 18:06:00,5
2019-02-05 18:07:00,3
2019-02-05 18:08:00,2
2019-02-05 18:12:00,31
2019-02-05 18:13:00,19
2019-02-05 18:14:00,15
2019-02-05 18:16:00,3
2019-02-05 18:17:00,20
2019-02-05 18:18:00,16
2019-02-05 18:19:00,15
2019-02-05 18:20:00,5
2019-02-05 18:21:00,5
2019-02-05 18:22:00,1
2019-02-05 18:23:00,9
2019-02-05 18:24:00,5
2019-02-05 18:25:00,5
2019-02-05 18:26:00,52
2019-02-05 18:27:00,10
2019-02-05 18:28:00,15
2019-02-05 18:29:00,5
2019-02-05 18:30:00,1
2019-02-05 18:31:00,7
2019-02-05 18:32:00,5
2019-02-05 18:33:00,2
2019-02-05 18:34:00,5
2019-02-05 18:35:00,37
2019-02-05 18:36:00,23
2019-02-05 18:37:00,15
2019-02-05 18:38:00,10
2019-02-05 18:39:00,16
2019-02-05 18:40:00,8
2019-02-05 18:41:00,24
2019-02-05 18:42:00,13
2019-02-05 18:43:00,17
2019-02-05 18:44:00,3
2019-02-05 18:45:00,7
2019-02-05 18:46:00,8
2019-02-05 18:47:00,2
2019-02-05 18:48:00,4
2019-02-05 18:49:00,7
2019-02-05 18:50:00,3
2019-02-05 18:51:00,2
2019-02-05 18:52:00,3
2019-02-05 18:53:00,5
2019-02-05 18:54:00,45
2019-02-05 18:55:00,16
2019-02-05 18:56:00,7
2019-02-05 18:57:00,18
2019-02-05 18:58:00,7
2019-02-05 18:59:00,2
2019-02-05 19:01:00,5
2019-02-05 19:02:00,6
2019-02-05 19:03:00,3
2019-02-05 19:04:00,2
2019-02-05 19:05:00,39
2019-02-05 19:06:00,5
2019-02-05 19:12:00,35
2019-02-05 19:13:00,15
2019-02-05 19:14:00,10
2019-02-05 19:22:00,45
2019-02-05 19:24:00,15
2019-02-05 19:25:00,10
2019-02-05 19:26:00,10
2019-02-05 19:27:00,10
2019-02-05 19:28:00,10
2019-02-05 19:30:00,10
2019-02-05 19:37:00,46
2019-02-05 19:38:00,4
2019-02-05 19:44:00,48
