122,"select p.ra, p.dec, no.distance from PhotoObj as p, dbo.fGetNearestObjEq(#,#,#) as no where p.objID = no.objID"
2019-12-24 23:29:00,21
2019-12-24 23:30:00,19
2019-12-24 23:31:00,82
